id,name,parent,variation,permalink,sku,short_description,description,on_sale,prices__currency_code,prices__currency_symbol,prices__currency_minor_unit,prices__currency_decimal_separator,prices__currency_thousand_separator,prices__currency_prefix,prices__currency_suffix,prices__price,prices__regular_price,prices__sale_price,prices__price_range,price_html,average_rating,review_count,images,variations,has_options,is_purchasable,is_in_stock,add_to_cart__text,add_to_cart__description
29649,"Lonis, Cryptozoologist (Foil)",0,,https://naipes.winterland.cl/producto/lonis-cryptozoologist-foil/,,,,False,CLP,$,0,",",.,$,,2800,2800,2800,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>2.800</span>",0,0,"[{'id': 29650, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/LonisCryptozoologist__52618.1622731716.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/LonisCryptozoologist__52618.1622731716.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/LonisCryptozoologist__52618.1622731716.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/07/LonisCryptozoologist__52618.1622731716.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/07/LonisCryptozoologist__52618.1622731716.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'LonisCryptozoologist__52618.1622731716.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,"Añade &ldquo;Lonis, Cryptozoologist (Foil)&rdquo; a tu carrito"
29647,Territorial Kavu (Extended Art),0,,https://naipes.winterland.cl/producto/territorial-kavu-extended-art/,,,,False,CLP,$,0,",",.,$,,1000,1000,1000,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>1.000</span>",0,0,"[{'id': 29648, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/TerritorialKavu467__95016.1622644414.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/TerritorialKavu467__95016.1622644414.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/TerritorialKavu467__95016.1622644414.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/07/TerritorialKavu467__95016.1622644414.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/07/TerritorialKavu467__95016.1622644414.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'TerritorialKavu467__95016.1622644414.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Territorial Kavu (Extended Art)&rdquo; a tu carrito
29645,"Dakkon, Shadow Slayer (Borderless &#8211; Foil)",0,,https://naipes.winterland.cl/producto/dakkon-shadow-slayer-borderless-foil/,,,,False,CLP,$,0,",",.,$,,9100,9100,9100,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>9.100</span>",0,0,"[{'id': 29646, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/DakkonShadowSlayer304__99252.1622731434.386.513-1.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/DakkonShadowSlayer304__99252.1622731434.386.513-1-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/DakkonShadowSlayer304__99252.1622731434.386.513-1.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/07/DakkonShadowSlayer304__99252.1622731434.386.513-1-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/07/DakkonShadowSlayer304__99252.1622731434.386.513-1-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'DakkonShadowSlayer304__99252.1622731434.386.513 (1)', 'alt': ''}]",[],False,True,True,Añadir al carrito,"Añade &ldquo;Dakkon, Shadow Slayer (Borderless &#8211; Foil)&rdquo; a tu carrito"
29635,Serra&#8217;s Emissary (Foil),0,,https://naipes.winterland.cl/producto/serras-emissary-foil/,,,,False,CLP,$,0,",",.,$,,11200,11200,11200,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>11.200</span>",0,0,"[{'id': 29636, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/SerrasEmissary__59450.1622731952.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/SerrasEmissary__59450.1622731952.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/SerrasEmissary__59450.1622731952.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/07/SerrasEmissary__59450.1622731952.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/07/SerrasEmissary__59450.1622731952.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'SerrasEmissary__59450.1622731952.386.513', 'alt': ''}]",[],False,True,False,Leer más,Lee más sobre &ldquo;Serra&#8217;s Emissary (Foil)&rdquo;
29633,Eidolón del gran festín,0,,https://naipes.winterland.cl/producto/eidolon-del-gran-festin/,,,,False,CLP,$,0,",",.,$,,7700,7700,7700,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>7.700</span>",0,0,"[{'id': 29634, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/jou-94-eidolon-of-the-great-revel.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/jou-94-eidolon-of-the-great-revel-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/jou-94-eidolon-of-the-great-revel.jpg 672w, https://naipes.winterland.cl/wp-content/uploads/2021/07/jou-94-eidolon-of-the-great-revel-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/07/jou-94-eidolon-of-the-great-revel-345x480.jpg 345w, https://naipes.winterland.cl/wp-content/uploads/2021/07/jou-94-eidolon-of-the-great-revel-600x836.jpg 600w', 'sizes': '(max-width: 672px) 100vw, 672px', 'name': 'jou-94-eidolon-of-the-great-revel', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Eidolón del gran festín&rdquo; a tu carrito
29631,Pernicious Deed,0,,https://naipes.winterland.cl/producto/pernicious-deed/,,,,False,CLP,$,0,",",.,$,,7700,7700,7700,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>7.700</span>",0,0,"[{'id': 29632, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/PerniciousDeed__11547.1590611971.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/PerniciousDeed__11547.1590611971.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/PerniciousDeed__11547.1590611971.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/07/PerniciousDeed__11547.1590611971.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/07/PerniciousDeed__11547.1590611971.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'PerniciousDeed__11547.1590611971.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Pernicious Deed&rdquo; a tu carrito
29628,Nada se desperdicia,0,,https://naipes.winterland.cl/producto/nada-se-desperdicia/,,,,False,CLP,$,0,",",.,$,,14000,14000,14000,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>14.000</span>",0,0,"[{'id': 29629, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/m15-122-waste-not.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/m15-122-waste-not-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/m15-122-waste-not.jpg 672w, https://naipes.winterland.cl/wp-content/uploads/2021/07/m15-122-waste-not-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/07/m15-122-waste-not-345x480.jpg 345w, https://naipes.winterland.cl/wp-content/uploads/2021/07/m15-122-waste-not-600x836.jpg 600w', 'sizes': '(max-width: 672px) 100vw, 672px', 'name': 'm15-122-waste-not', 'alt': ''}]",[],False,True,False,Leer más,Lee más sobre &ldquo;Nada se desperdicia&rdquo;
29626,Supreme Verdict,0,,https://naipes.winterland.cl/producto/supreme-verdict/,,,,False,CLP,$,0,",",.,$,,7000,7000,7000,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>7.000</span>",0,0,"[{'id': 29627, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/SupremeVerdict__27492.1590612027.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/SupremeVerdict__27492.1590612027.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/SupremeVerdict__27492.1590612027.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/07/SupremeVerdict__27492.1590612027.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/07/SupremeVerdict__27492.1590612027.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'SupremeVerdict__27492.1590612027.386.513', 'alt': ''}]",[],False,True,True,Añadir al carrito,Añade &ldquo;Supreme Verdict&rdquo; a tu carrito
29624,"Teferi, héroe de Dominaria",0,,https://naipes.winterland.cl/producto/teferi-heroe-de-dominaria/,,,,False,CLP,$,0,",",.,$,,24500,24500,24500,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>24.500</span>",0,0,"[{'id': 29625, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/dom-207-teferi-hero-of-dominaria.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/dom-207-teferi-hero-of-dominaria-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/dom-207-teferi-hero-of-dominaria.jpg 672w, https://naipes.winterland.cl/wp-content/uploads/2021/07/dom-207-teferi-hero-of-dominaria-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/07/dom-207-teferi-hero-of-dominaria-345x480.jpg 345w, https://naipes.winterland.cl/wp-content/uploads/2021/07/dom-207-teferi-hero-of-dominaria-600x836.jpg 600w', 'sizes': '(max-width: 672px) 100vw, 672px', 'name': 'dom-207-teferi-hero-of-dominaria', 'alt': ''}]",[],False,True,True,Añadir al carrito,"Añade &ldquo;Teferi, héroe de Dominaria&rdquo; a tu carrito"
29622,"Thassa, Deep-Dwelling",0,,https://naipes.winterland.cl/producto/thassa-deep-dwelling/,,,,False,CLP,$,0,",",.,$,,14000,14000,14000,,"<span class=""woocommerce-Price-amount amount""><span class=""woocommerce-Price-currencySymbol"">$</span>14.000</span>",0,0,"[{'id': 29623, 'src': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/ThassaDeepdwelling__39790.1590611949.386.513.jpg', 'thumbnail': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/ThassaDeepdwelling__39790.1590611949.386.513-300x300.jpg', 'srcset': 'https://naipes.winterland.cl/wp-content/uploads/2021/07/ThassaDeepdwelling__39790.1590611949.386.513.jpg 368w, https://naipes.winterland.cl/wp-content/uploads/2021/07/ThassaDeepdwelling__39790.1590611949.386.513-215x300.jpg 215w, https://naipes.winterland.cl/wp-content/uploads/2021/07/ThassaDeepdwelling__39790.1590611949.386.513-344x480.jpg 344w', 'sizes': '(max-width: 368px) 100vw, 368px', 'name': 'ThassaDeepdwelling__39790.1590611949.386.513', 'alt': ''}]",[],False,True,False,Leer más,"Lee más sobre &ldquo;Thassa, Deep-Dwelling&rdquo;"
